LEVEL1_FK,LEVEL2_FK,DESCRIPT,DESCRIPT2,MODELNUM,INVNUM
7001,2207001,"43 TV NO REMOTE                                                                                                                                                                                        ""	TV ELECTRONICS ONN ONC18TV001, #1824onc18tv00136204; 43 TV NO REMOTE                                                                                                                                   """,ONC18TV001,235417-2,
21001,3403001,NIBBLERS,"NIBBLERS TOOLS-POWER MILWAUKEE 6852-20, #A80BD10400706; NIBBLERS",6852-20,134037-5
19001,2527001,"3/8 RATCHET                                                                                                                                                                                            ""	RATCHET TOOLS-AIR SNAP-ON FHL80; 3/8 RATCHET""",FHL80,134544-2,
4001,2120001,500.00 DOLLAR BILL,"PAPER MONEY COINS US CURRENCY, #E00021484A; 500.00 DOLLAR BILL",,134776-1
12001,1,SCRAP STONE BIN,JEWELRY; SCRAP STONE BIN,,I-27
10001,3899001,STERILIZER AUTOCLAVE,STEAMER HOUSEHOLD ALL AMERICAN PRESURE 1915X; STERILIZER AUTOCLAVE,1915X,32574-1
16001,3496001,TRAIN SET,OTHER OTHER EZTEC; TRAIN SET,,32854-1
21001,2685001,LASER THERMOMETER,THERMOMETER TOOLS-POWER GENERAL; LASER THERMOMETER,,32986-3
5001,3540001,WALL CLOCK,"CLOCK COLLECTIBLES HOWARD MILLER 513-227, #020867004270; WALL CLOCK",513-227,33149-1
15001,2364001,AMP HEAD TUBED,"AMP. HEAD MUSICAL INSTRUMENTS BLACKSTAR HT-5H, #]C121200911UB1364; AMP HEAD TUBED",HT-5H,33551-1
7001,2910001,DVD PLAYER,"DVD DISK ELECTRONICS SAMSUNG BD-JM57, #0a5f1rbj502647; DVD PLAYER",BD-JM57,33437-2
16001,3496001,PICTURE FRAMES,OTHER OTHER HALMARK; PICTURE FRAMES,,32865-1
20001,3630001,PIPE BENDER IN CASE,BENDER TOOLS-HAND YELLOW JACKET 60331; PIPE BENDER IN CASE,60331,235649-1
21001,2638001,"CORDED 1/2 DRILL IN CASE                                                                                                                                                                               ""	DRILL TOOLS-POWER BOSTITCH BTR140K, #012818; CORDED 1/2 DRILL IN CASE""",BTR140K,30269-3,
19001,3030001,AIR STAPLER,"STAPLER TOOLS-AIR PORTER CABLE TS056, #TS056CK-132750860-XS; AIR STAPLER",TS056,30580-1
18001,2462001,SCUBA TANK,"SCUBA EQUIPMENT SPORTING EQUIPMENT SHERWOOD, #P52594; SCUBA TANK",,235706-1
12001,1,GOLD 18K SCRAP,"JEWELRY, 18KT; GOLD 18K SCRAP",,I-26
5001,3017001,2002 BOTTLE OF DOM PERIGON,BOTTLE COLLECTIBLES DOM PERIGON 2002; 2002 BOTTLE OF DOM PERIGON,2002,33169-1
