fk	name
1001	BICYLES
2001	CAMERA EQUIPMENT
4001	COINS
5001	COLLECTIBLES
6001	DEFENSE ACCESSORIES
7001	ELECTRONICS
8001	FIREARM
9001	GAMES
10001	HOUSEHOLD
12001	JEWELRY
13001	LAWN & GARDEN
15001	MUSICAL INSTRUMENTS
18001	SPORTING EQUIPMENT
19001	TOOLS-AIR
20001	TOOLS-HAND
21001	TOOLS-POWER
22001	VEHICLES
